"typ","ort","adresse","anzahl","latitude","longitude"
"Tramlinie Linie 19","München","Agnes-Bernauer-Straße",1,48.139334,11.511576
"Tramlinie Linie 19","München","Am Knie",1,48.14547,11.470974
"Tramlinie Linie 19","München","Am Lockschuppen ",1,48.14081,11.523562
"Tramlinie Linie 19","München","Barthstraße",1,48.140366,11.530451
"Tramlinie Linie 19","München","Fürstenrieder Straße",1,48.139364,11.503407
"Tramlinie Linie 19","München","Hauptbahnhof Süd",1,48.14025,11.560892
"Tramlinie Linie 19","München","Hermann-Lingg-Str.",1,48.13913,11.551703
"Tramlinie Linie 19","München","Holzapfelstraße",1,48.1393,11.546761
"Tramlinie Linie 19","München","Lautensackstr. ",1,48.139664,11.518346
"Tramlinie Linie 19","München","Lohensteinstr",1,48.142231,11.482035
"Tramlinie Linie 19","München","Maxmonument",1,48.13786,11.58761
"Tramlinie Linie 19","München","Offenbachstraße",1,48.146148,11.46587
"Tramlinie Linie 19","München","Pasing Rathaus",1,48.1488,11.4613
"Tramlinie Linie 19","München","Schrenkstr. ",1,48.139624,11.541207
"Tramlinie Linie 19","München","Trappentreustraße",1,48.139945,11.53526
"Tramlinie Linie 19","München","Westbad",1,48.142315,11.475519
"Tramlinie Linie 19","München","Willibaldplatz",1,48.141364,11.488669
"Tramlinie Linie 23","München","Am Münchner Tor",1,48.17614,11.58821
"Tramlinie Linie 23","München","Anni-Alberts.-Str.",1,48.17976,11.58926
"Tramlinie Linie 23","München","Domagkstr.",1,48.1838,11.59031
"Tramlinie Linie 23","München","Parzivalplatz",1,48.17188,11.58596
"Tramlinie Linie 23","München","Potsdamer Str.",1,48.16773,11.58626
"Tramlinie Linie 23","München","Schwabing Nord",1,48.18671,11.59089
"Tramlinie Linie 27","München","Ackermannstraße",1,48.168285,11.565021
"Tramlinie Linie 27","München","Ackermannstraße",1,48.167535,11.564831
"Tramlinie Linie 27","München","Elisabethplatz",1,48.15792,11.57485
"Tramlinie Linie 27","München","Elisabethplatz",1,48.15732,11.57511
"Tramlinie Linie 27","München","Gartenstr. ",1,48.171994,11.564941
"Tramlinie Linie 27","München","Herzogstraße",1,48.16371,11.564328
"Tramlinie Linie 27","München","Herzogstraße ",1,48.163712,11.564352
"Tramlinie Linie 27","München","Hohenzollernplatz",1,48.161229,11.568193
